EvtN	HitN	TrackID	Energy	DetID	Process	DOI	HP	Time
0	1	1	60	173	1	1	45	0.698213	
1	1	1	60	14	1	10	45	0.29901	
2	1	1	60	10	1	4	45	0.292089	
3	1	1	60	27	1	10	45	0.358866	
4	1	1	60	4	1	10	45	0.265479	
11	1	1	60	46	1	10	45	0.39468	
12	1	1	60	97	1	2	45	0.492771	
13	1	1	60	105	1	10	45	0.499806	
14	1	1	60	42	1	6	45	0.386387	
15	1	1	60	73	1	9	45	0.435866	
16	1	1	60	70	1	6	45	0.426006	
17	1	1	60	40	1	5	45	0.349314	
18	1	1	60	49	1	10	45	0.384927	
19	1	1	60	12	1	10	45	0.3144	
20	1	1	60	49	1	10	45	0.377237	
25	1	1	60	112	1	1	45	0.580525	
26	1	1	60	11	1	10	45	0.291637	
27	1	1	0	12	4	7	45	0.316824	
29	1	1	60	170	1	1	45	0.684617	
31	1	1	60	17	1	10	45	0.288004	
32	1	1	60	174	1	8	45	0.700628	
34	1	1	60	11	1	10	45	0.291859	
35	1	1	60	61	1	10	45	0.411778	
36	1	1	60	38	1	3	45	0.327769	
37	1	1	60	48	1	10	45	0.359129	
38	1	1	60	1	1	10	45	0.24632	
39	1	1	60	29	1	10	45	0.330171	
40	1	1	60	26	1	5	45	0.346429	
42	1	1	60	8	1	10	45	0.248742	
43	1	1	60	8	1	2	45	0.271259	
45	1	1	60	33	1	10	45	0.337994	
46	1	1	0	10	3	7	45	0.272015	
46	2	1	60	10	1	7	45	0.272534	
47	1	1	60	33	1	10	45	0.345259	
48	1	1	60	13	1	10	45	0.299805	
49	1	1	60	33	1	8	45	0.344244	
50	1	1	60	32	1	8	45	0.309476	
51	1	1	60	35	1	10	45	0.297554	
52	1	1	60	63	1	3	45	0.44663	
53	1	1	60	95	1	10	45	0.472243	
54	1	1	60	6	1	9	45	0.25918	
55	1	1	0	59	4	10	45	0.41317	
55	2	1	60	83	1	8	45	0.443043	
56	1	1	60	57	1	7	45	0.371942	
58	1	1	9.07914	38	2	8	45	0.307058	
58	2	1	0	38	4	8	45	0.307434	
58	3	1	50.9209	22	1	9	45	0.336275	
59	1	1	60	191	1	1	45	0.72133	
